2026-02-02 16:45:54,434 | INFO | utils.sparkUtils | get_spark_session | Building Spark session with app name: fitness-analytics, use_minio: True
2026-02-02 16:45:58,689 | INFO | utils.sparkUtils | get_spark_session | Spark session built successfully
2026-02-02 16:45:58,689 | INFO | utils.sparkUtils | read_raw_data | Reading raw data from /opt/project/data/synthetic_fitness_6_months.csv
2026-02-02 16:46:00,445 | INFO | utils.sparkUtils | read_raw_data | Data read successfully — 183 rows, 14 columns
2026-02-02 16:46:01,213 | INFO | utils.sparkUtils | write_data | Writing data to MinIO with folder name: s3a://fitness-analytics/errors/error_3
2026-02-02 16:46:03,146 | INFO | utils.sparkUtils | write_data | Data written to s3a://fitness-analytics/errors/error_3
2026-02-02 16:46:03,425 | INFO | utils.sparkUtils | write_data | Writing data to MinIO with folder name: s3a://fitness-analytics/cleaned/post_check
2026-02-02 16:46:03,828 | INFO | utils.sparkUtils | write_data | Data written to s3a://fitness-analytics/cleaned/post_check
2026-02-02 16:46:03,921 | INFO | utils.sparkUtils | write_data | Writing data to MinIO with folder name: s3a://fitness-analytics/cleaned/derived
2026-02-02 16:46:04,591 | INFO | utils.sparkUtils | write_data | Data written to s3a://fitness-analytics/cleaned/derived
